id;code_sap;razao_social;nome_fantasia;criado_em;atualizado_em;status
103;10548658;COOP AGRO INDL HOLAMBRA;INDL HOLAMBRA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
104;10550465;COOP AGRO PEC DE BOA ESPERANCA;CAPEBE;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
105;10547756;COOP AGRO PEC DO VALE DO SAPUCAI LT;COOPERVASS;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
106;10548135;COOP AGRO PECUARIA DE CARMO DO PA;CARPEC;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
107;10550742;COOP AGROINDL ALEGRETE LTDA;CAAL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
108;10433617;COOP AGROINDL ALFA;COOPERALFA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
109;10447950;COOP AGROINDL BOM JESUS;BJ;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
110;10462225;COOP AGROINDL NOVA PRODUTIVA;NOVA PRODUTIVA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
111;10434279;COOP AGROINDL PROD RURAIS S GOIANO;COMIGO;2019-12-03 18:55:28.274305;2020-01-10 11:57:37.439437;1
112;10433605;COOP AGROINDUSTRIAL COPAGRIL;COPAGRIL;2019-12-03 18:55:28.274305;2019-12-27 12:28:45.490823;1
113;10433890;COOP AGROP BOA ESPERANCENSE;COPERBOA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
114;10433570;COOP AGROP CAMPONOVENSE LTDA;COOCAM;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
115;10433956;COOP AGROP CENTRO SERRANA;COOPEAVI;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
116;10503681;COOP AGROP DE INSUMOS HOLAMBRA;INSUMOS HOLAMBRA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
117;10546957;COOP AGROP DE PEDRINHAS PAULISTA;COOPEDRINHAS;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
118;10544928;COOP AGROP DE PERDIZES LTDA;COOPERDIZES;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
119;10453075;COOP AGROP DO CELEIRO CATARINENSE;COOPERACEL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
120;10552082;COOP AGROP PLANAL SERRANO LTDA;COOPERPLAN;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
121;10494113;COOP AGROP TRADICAO;COOPERTRADIÇÃO;2019-12-03 18:55:28.274305;2019-12-19 22:23:11.643445;1
122;10433815;COOP AGROP VIDEIRENSE;COOPERVIL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
123;10434562;COOP AGROPEC DE CAMPOS ALTOS LTDA;CAPECA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
124;10433674;COOP AGROPEC DO ALTO PARANAIBA;COOPADAP;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
125;10554738;COOP AGROPECUARIA DO OESTE DA BAH;COOPROESTE;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
126;10550387;COOP CAF DE CAMPOS GERAIS E CAMPO;COOPERCAM;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
127;10547477;COOP CAFEIC REG LAJINHA LTDA;COOCAFE;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
128;10550518;COOP CAFEIC ZN TRES PONTAS LTDA;COCATREL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
129;10551271;COOP CAFEIC ZN VARGINHA LTDA;MINASUL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
130;10553590;COOP DE CAFEICULTORES E AGROPECUA;COCAPEC;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
131;10433777;COOP DOS PLANT DE CANA DO EST DE SP;COPLACANA;2019-12-03 18:55:28.274305;2019-12-18 19:51:48.364805;1
132;10503823;COOP GER ENER DESEN TAQUARI JACUI;CERTAJA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
133;10434150;COOP MISTA SAO LUIZ LTDA;COOPERMIL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
134;10545465;COOP PLANT CANA DO OESTE EST SP;COOPERCANA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
135;10434591;COOP PROD DE HORTALICAS DE LEBON RE;COOPERHORT;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
136;10434261;COOP PROD DE SEM COPROSSEL;COPROSSEL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
137;10433817;COOP PROD E CONSUMO CONCORDIA;COPERDIA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
138;10550068;COOP REG AGROP ALTO V ITAJAI;CRAVIL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
139;10433601;COOP REG AGROP DE CAMPOS NOVOS COPE;COOPERCAMPOS;2019-12-03 18:55:28.274305;2019-12-19 15:09:14.205240;1
