ID ONIX;DESCRICAO;PREFIXO;Embalagem;Unid;Volume;Status
297;AMULET - 1 L;AMULET;1;L;1;1
298;AVICTA 500 FS - 1 L;AVICTA 500 FS;1;L;1;1
299;BIODRY - 25 KG;BIODRY;25;KG;25;1
300;CAIXA SIC 16 L - 1 CX;CAIXA SIC 16 L;1;CX;1;0
301;CAIXA V&P SUL MAIS MAXIM XL 5 L - 1 CX;CAIXA V&P SUL MAIS MAXIM XL 5 L;1;CX;1;0
302;CAIXA VIGOR E PRAGA CERRADO 15 L - 1 CX;CAIXA VIGOR E PRAGA CERRADO 15 L;1;CX;1;0
303;CAIXA VIGOR E PRAGA SUL 200 20 L - 1 CX;CAIXA VIGOR E PRAGA SUL 200 20 L;1;CX;1;0
304;EFFECT - 5 L;EFFECT;5;L;5;0
305;EPIVIO VIGOR - 20 L;EPIVIO VIGOR;20;L;20;1
306;MAXIM ADVANCED - 1 L;MAXIM ADVANCED;1;L;1;1
307;PHOSTOXIN - 1 KG;PHOSTOXIN;1;KG;1;0
308;SYS LL - 20 KG;SYS LL;20;KG;20;0
309;SYS POWER - 20 L;SYS POWER;20;L;20;1
310;VOLIAM TARGO - 250 ML;VOLIAM TARGO;250;ML;0.25;1
311;ACTELLIC - 1 L;ACTELLIC;1;L;1;1
312;CLETODIM CCAB 240 EC - 20 L;CLETODIM CCAB 240 EC;20;L;20;1
313;CRUISER OPTI - 1 L;CRUISER OPTI;1;L;1;1
314;CYPRESS - 1 L;CYPRESS;1;L;1;1
315;DYNASTY - 5 L;DYNASTY;5;L;5;1
316;FORTENZA - 1000 L;FORTENZA;1000;L;1000;1
317;MAXIM XL - 1000 L;MAXIM XL;1000;L;1000;1
318;REVUS OPTI - 1 L;REVUS OPTI;1;L;1;1
319;REVUS OPTI - 5 L;REVUS OPTI;5;L;5;1
320;REVUS OPTI - 20 L;REVUS OPTI;20;L;20;1
321;STANDAK - 5 L;STANDAK;5;L;5;0
322;TIODICARBE - 5 L;TIODICARBE;5;L;5;0
323;ACTELLIC - 5 L;ACTELLIC;5;L;5;0
324;EFORIA - 5 L;EFORIA;5;L;5;1
